   0,        0,    -13,     -1,     18,      6,   2283,   -997,   3274, 0, 0, 0, 0
   1,     1667,     -7,      9,     22,      5,    761,  -2518,   3241, 0, 0, 0, 0
   2,     3333,      1,     17,     22,      5,   -937,  -3285,   2276, 0, 0, 0, 0
   3,     5000,     10,     22,     15,      4,  -2414,  -3271,    785, 0, 0, 0, 0
   4,     6667,     18,     20,      7,      3,  -3215,  -2353,   -910, 0, 0, 0, 0
   5,     8333,     22,     15,     -3,      3,  -3265,   -883,  -2396, 0, 0, 0, 0
   6,    10000,     21,      8,    -10,      2,  -2399,    835,  -3222, 0, 0, 0, 0
   7,    11667,     15,     -2,    -13,      3,   -916,   2409,  -3279, 0, 0, 0, 0
   8,    13333,      8,    -10,    -14,      3,    766,   3244,  -2398, 0, 0, 0, 0
   9,    15000,     -2,    -14,     -7,      3,   2309,   3330,   -945, 0, 0, 0, 0
  10,    16667,     -9,    -14,      0,      4,   3166,   2487,    734, 0, 0, 0, 0
  11,    18333,    -14,     -9,     10,      4,   3310,   1049,   2283, 0, 0, 0, 0
  12,    20000,    -13,     -1,     16,      4,   2535,   -641,   3173, 0, 0, 0, 0
  13,    21667,     -9,      8,     22,      5,   1076,  -2279,   3326, 0, 0, 0, 0
  14,    23333,     -1,     16,     21,      5,   -590,  -3179,   2521, 0, 0, 0, 0
  15,    25000,      9,     20,     17,      4,  -2174,  -3348,   1097, 0, 0, 0, 0
  16,    26667,     16,     21,      8,      4,  -3094,  -2591,   -558, 0, 0, 0, 0
  17,    28333,     20,     17,     -1,      3,  -3322,  -1195,  -2149, 0, 0, 0, 0
  18,    30000,     21,      9,     -8,      2,  -2635,    473,  -3103, 0, 0, 0, 0
  19,    31667,     18,      0,    -13,      3,  -1232,   2141,  -3337, 0, 0, 0, 0
  20,    33333,     10,     -9,    -14,      2,    416,   3122,  -2632, 0, 0, 0, 0
  21,    35000,     -1,    -14,     -9,      3,   2037,   3375,  -1251, 0, 0, 0, 0
  22,    36667,     -7,    -15,     -1,      4,   3041,   2707,    394, 0, 0, 0, 0
  23,    38333,    -12,    -11,      8,      4,   3345,   1367,   2006, 0, 0, 0, 0
  24,    40000,    -14,     -3,     16,      5,   2757,   -288,   3043, 0, 0, 0, 0
  25,    41667,    -10,      6,     22,      4,   1401,  -1986,   3360, 0, 0, 0, 0
  26,    43333,     -3,     14,     23,      4,   -250,  -3056,   2745, 0, 0, 0, 0
  27,    45000,      7,     20,     19,      5,  -1889,  -3383,   1414, 0, 0, 0, 0
  28,    46667,     15,     21,     10,      4,  -2974,  -2801,   -228, 0, 0, 0, 0
  29,    48333,     19,     18,      1,      3,  -3347,  -1518,  -1856, 0, 0, 0, 0
  30,    50000,     22,     12,     -7,      3,  -2849,    126,  -2969, 0, 0, 0, 0
  31,    51667,     18,      2,    -12,      3,  -1559,   1835,  -3364, 0, 0, 0, 0
  32,    53333,     11,     -7,    -15,      2,     84,   2997,  -2843, 0, 0, 0, 0
  33,    55000,      2,    -13,    -12,      3,   1744,   3403,  -1572, 0, 0, 0, 0
  34,    56667,     -6,    -15,     -3,      3,   2919,   2925,     58, 0, 0, 0, 0
  35,    58333,    -12,    -13,      6,      4,   3358,   1681,   1713, 0, 0, 0, 0
  36,    60000,    -15,     -5,     15,      4,   2964,     58,   2907, 0, 0, 0, 0
  37,    61667,    -11,      3,     20,      4,   1721,  -1672,   3376, 0, 0, 0, 0
  38,    63333,     -4,     13,     22,      5,     86,  -2924,   2955, 0, 0, 0, 0
  39,    65000,      6,     19,     20,      4,  -1584,  -3388,   1725, 0, 0, 0, 0
  40,    66667,     14,     21,     12,      4,  -2790,  -2812,    151, 0, 0, 0, 0
  41,    68333,    -12,    -14,      4,      3,  -1687,   -126,  -1580, 0, 0, 0, 0
  42,    70000,    -38,    -49,     -7,      3,  -2154,    565,  -2768, 0, 0, 0, 0
  43,    71667,    -43,    -63,    -14,      4,  -1850,   1415,  -3282, 0, 0, 0, 0
  44,    73333,    -33,    -58,    -20,      2,  -1277,   1756,  -3002, 0, 0, 0, 0
  45,    75000,    -11,    -34,    -16,      3,   -268,   1695,  -1907, 0, 0, 0, 0
  46,    76667,     11,     -1,     -7,      4,    746,   1072,   -287, 0, 0, 0, 0
  47,    78333,     34,     31,      1,      4,   1583,    363,   1246, 0, 0, 0, 0
  48,    80000,     53,     63,     15,      5,   1925,   -524,   2458, 0, 0, 0, 0
  49,    81667,     58,     79,     25,      4,   1924,  -1207,   3120, 0, 0, 0, 0
  50,    83333,     50,     77,     32,      6,   1321,  -1676,   2977, 0, 0, 0, 0
  51,    85000,     32,     58,     30,      5,    456,  -1602,   2019, 0, 0, 0, 0
  52,    86667,      8,     23,     20,      4,   -563,  -1098,    491, 0, 0, 0, 0
  53,    88333,     -9,     -6,      7,      3,  -1425,   -387,  -1068, 0, 0, 0, 0
  54,    90000,    -28,    -39,     -6,      4,  -1868,    423,  -2311, 0, 0, 0, 0
  55,    91667,    -35,    -60,    -19,      3,  -1849,   1181,  -3024, 0, 0, 0, 0
  56,    93333,    -32,    -63,    -26,      2,  -1387,   1590,  -2953, 0, 0, 0, 0
  57,    95000,    -17,    -49,    -26,      3,   -559,   1594,  -2111, 0, 0, 0, 0
  58,    96667,      2,    -17,    -13,      4,    466,   1165,   -651, 0, 0, 0, 0
  59,    98333,     18,     13,      0,      4,   1332,    495,    868, 0, 0, 0, 0
  60,   100000,     36,     46,     15,      4,   1772,   -354,   2144, 0, 0, 0, 0
  61,   101667,     45,     70,     29,      5,   1848,  -1086,   2934, 0, 0, 0, 0
  62,   103333,     43,     78,     38,      4,   1411,  -1533,   2926, 0, 0, 0, 0
  63,   105000,     30,     65,     37,      5,    640,  -1596,   2204, 0, 0, 0, 0
  64,   106667,     14,     36,     26,      3,   -341,  -1186,    805, 0, 0, 0, 0
  65,   108333,     -3,      4,     10,      4,  -1173,   -509,   -690, 0, 0, 0, 0
  66,   110000,    -18,    -28,     -5,      3,  -1704,    266,  -1983, 0, 0, 0, 0
  67,   111667,    -28,    -54,    -22,      3,  -1815,   1005,  -2817, 0, 0, 0, 0
  68,   113333,    -28,    -65,    -32,      3,  -1422,   1489,  -2888, 0, 0, 0, 0
  69,   115000,    -20,    -58,    -33,      3,   -716,   1575,  -2254, 0, 0, 0, 0
  70,   116667,     -7,    -34,    -23,      3,    240,   1225,   -939, 0, 0, 0, 0
  71,   118333,      9,     -1,     -5,      4,   1105,    596,    541, 0, 0, 0, 0
  72,   120000,     22,     28,     11,      4,   1699,   -137,   1858, 0, 0, 0, 0
  73,   121667,     31,     56,     30,      5,   1825,   -913,   2741, 0, 0, 0, 0
  74,   123333,     34,     72,     42,      4,   1476,  -1392,   2855, 0, 0, 0, 0
  75,   125000,     27,     69,     44,      4,    807,  -1532,   2309, 0, 0, 0, 0
