1,0,40274,1390,56636,42180,879,55242,21873,64978,11451,46449,141,51711,24575,0,0,0
2,50,40774,1246,56281,42672,764,54865,21389,65068,11845,46915,97,51289,30036,0,0,0
3,100,41272,1109,55919,43162,658,54482,20908,65151,12243,47378,61,50862,37318,0,0,0
4,150,41768,980,55552,43648,559,54094,20429,65225,12647,47837,34,50431,37318,0,0,0
5,200,42262,859,55180,44133,468,53700,19954,65292,13056,48292,14,49995,31857,0,0,0
6,250,42754,746,54801,44614,386,53302,19482,65350,13469,48743,3,49555,28216,0,0,0
7,300,43243,640,54418,45092,311,52898,19013,65401,13888,49191,0,49111,24575,0,0,0
8,350,43729,543,54029,45568,244,52490,18548,65443,14311,49634,4,48663,33677,0,0,0
9,400,44213,454,53634,46040,185,52076,18086,65478,14738,50073,17,48211,22755,0,0,0
10,450,44693,372,53235,46509,134,51658,17627,65504,15170,50508,38,47756,24575,0,0,0
11,500,45171,299,52831,46974,92,51235,17173,65522,15606,50939,67,47296,26396,0,0,0
12,550,45646,233,52421,47436,57,50808,16722,65532,16047,51365,104,46833,28216,0,0,0
13,600,46118,176,52007,47895,31,50376,16275,65535,16492,51786,149,46367,35498,0,0,0
14,650,46586,126,51588,48350,12,49940,15832,65529,16940,52203,202,45897,31857,0,0,0
15,700,47051,85,51164,48800,2,49499,15394,65514,17393,52615,264,45424,24575,0,0,0
16,750,47513,52,50736,49247,0,49054,14959,65492,17849,53022,333,44947,28216,0,0,0
17,800,47971,27,50303,49690,5,48606,14530,65462,18309,53424,410,44468,30036,0,0,0
18,850,48425,10,49867,50129,19,48153,14104,65424,18773,53821,495,43986,26396,0,0,0
19,900,48875,0,49425,50563,41,47697,13683,65377,19240,54213,589,43501,19114,0,0,0
20,950,49321,0,48980,50993,71,47237,13267,65323,19710,54600,690,43014,24575,0,0,0
21,1000,49763,7,48531,51419,109,46773,12856,65260,20184,54981,799,42523,24575,0,0,0
22,1050,50201,22,48078,51840,155,46306,12450,65190,20661,55356,916,42031,35498,0,0,0
23,1100,50635,45,47621,52256,210,45836,12048,65111,21140,55726,1041,41536,33677,0,0,0
24,1150,51064,77,47160,52667,272,45362,11652,65025,21623,56091,1173,41039,24575,0,0,0
25,1200,51489,116,46696,53074,342,44886,11261,64931,22108,56449,1314,40540,26396,0,0,0
26,1250,51909,163,46228,53475,420,44406,10876,64828,22596,56802,1462,40039,42779,0,0,0
27,1300,52324,219,45757,53871,507,43923,10495,64718,23086,57149,1618,39536,30947,0,0,0
28,1350,52735,283,45283,54263,601,43438,10120,64600,23579,57490,1781,39032,28216,0,0,0
29,1400,53140,354,44806,54648,703,42950,9751,64474,24074,57825,1952,38526,24575,0,0,0
30,1450,53541,434,44326,55029,813,42460,9388,64340,24572,58153,2131,38018,27306,0,0,0
31,1500,53937,521,43843,55404,931,41967,9030,64198,25071,58476,2318,37510,34587,0,0,0
32,1550,54327,617,43357,55773,1057,41472,8678,64049,25572,58792,2512,37000,37318,0,0,0
33,1600,54712,720,42869,56137,1190,40975,8332,63892,26076,59101,2713,36489,29126,0,0,0
34,1650,55091,832,42378,56495,1332,40475,7992,63727,26580,59404,2922,35977,30036,0,0,0
35,1700,55465,951,41885,56847,1481,39974,7658,63555,27086,59701,3138,35464,30036,0,0,0
36,1750,55834,1078,41389,57193,1638,39471,7331,63375,27594,59991,3361,34951,29581,0,0,0
37,1800,56196,1213,40892,57533,1802,38966,7009,63187,28103,60274,3592,34437,35043,0,0,0
38,1850,56553,1355,40392,57867,1974,38460,6694,62992,28613,60550,3830,33923,29581,0,0,0
39,1900,56904,1506,39890,58195,2154,37953,6386,62790,29124,60820,4075,33408,31857,0,0,0
40,1950,57250,1664,39387,58516,2341,37444,6084,62580,29636,61082,4327,32894,41414,0,0,0
41,2000,57589,1830,38882,58831,2536,36934,5788,62362,30149,61338,4586,32379,46420,0,0,0
42,2050,57922,2003,38376,59140,2739,36423,5499,62138,30662,61586,4852,31864,25485,0,0,0
43,2100,58248,2184,37868,59442,2948,35911,5217,61906,31176,61828,5125,31350,28216,0,0,0
44,2150,58569,2373,37359,59738,3165,35398,4942,61667,31690,62062,5405,30836,19683,0,0,0
45,2200,58883,2569,36849,60027,3390,34885,4674,61421,32205,62289,5692,30322,28216,0,0,0
46,2250,59190,2773,36338,60309,3621,34371,4412,61168,32720,62509,5985,29809,33933,0,0,0
47,2300,59492,2984,35826,60585,3860,33857,4158,60907,33234,62721,6285,29297,30719,0,0,0
48,2350,59786,3202,35313,60853,4106,33342,3910,60640,33749,62926,6591,28786,29012,0,0,0
49,2400,60074,3427,34799,61115,4359,32827,3670,60366,34263,63124,6904,28275,43007,0,0,0
50,2450,60355,3660,34285,61370,4619,32313,3437,60085,34777,63314,7223,27766,43234,0,0,0
51,2500,60629,3900,33771,61617,4886,31798,3211,59798,35291,63496,7549,27258,36408,0,0,0
52,2550,60897,4147,33257,61858,5160,31284,2992,59503,35804,63671,7881,26751,28216,0,0,0
53,2600,61157,4402,32742,62091,5441,30770,2781,59202,36316,63838,8219,26246,36408,0,0,0
