        52,      2550, 33917, 30913, 33189, 24981, 35980, 34673, 33926, 31185, 33200, 27176, 37892, 36902
        53,      2600, 33958, 30882, 33179, 24973, 35997, 34668, 33967, 31160, 33184, 27177, 37880, 36904
        54,      2650, 34000, 30867, 33152, 24965, 36015, 34663, 34009, 31137, 33165, 27179, 37867, 36906
        55,      2700, 34042, 30840, 33138, 24957, 36033, 34659, 34052, 31113, 33147, 27180, 37855, 36908
        56,      2750, 34085, 30814, 33121, 24949, 36052, 34655, 34095, 31091, 33126, 27182, 37842, 36910
        57,      2800, 34127, 30802, 33091, 24940, 36070, 34651, 34138, 31069, 33105, 27184, 37829, 36911
        58,      2850, 34171, 30772, 33079, 24931, 36089, 34648, 34181, 31048, 33082, 27186, 37816, 36913
        59,      2900, 34214, 30756, 33052, 24922, 36108, 34645, 34225, 31027, 33060, 27188, 37804, 36913
        60,      2950, 34258, 30741, 33023, 24913, 36127, 34642, 34269, 31008, 33034, 27190, 37790, 36915
        61,      3000, 34302, 30713, 33008, 24903, 36146, 34640, 34313, 30989, 33010, 27192, 37777, 36915
        62,      3050, 34347, 30705, 32972, 24893, 36165, 34638, 34358, 30972, 32982, 27194, 37764, 36915
        63,      3100, 34391, 30684, 32949, 24883, 36185, 34637, 34403, 30954, 32955, 27196, 37751, 36916
        64,      3150, 34436, 30665, 32923, 24873, 36204, 34635, 34448, 30939, 32925, 27198, 37738, 36916
        65,      3200, 34481, 30658, 32886, 24862, 36224, 34635, 34493, 30923, 32896, 27200, 37724, 36915
        66,      3250, 34526, 30637, 32862, 24851, 36243, 34635, 34538, 30909, 32864, 27202, 37711, 36915
        67,      3300, 34571, 30624, 32830, 24840, 36263, 34635, 34583, 30895, 32833, 27204, 37698, 36914
        68,      3350, 34617, 30618, 32791, 24828, 36283, 34636, 34629, 30884, 32799, 27207, 37684, 36913
        69,      3400, 34662, 30598, 32766, 24816, 36303, 34637, 34674, 30871, 32766, 27209, 37671, 36911
        70,      3450, 34708, 30593, 32726, 24804, 36323, 34639, 34720, 30862, 32730, 27212, 37658, 36910
        71,      3500, 34753, 30586, 32688, 24792, 36343, 34641, 34765, 30852, 32695, 27214, 37645, 36908
        72,      3550, 34799, 30568, 32660, 24780, 36363, 34644, 34811, 30844, 32657, 27217, 37631, 36906
        73,      3600, 34844, 30572, 32611, 24767, 36383, 34647, 34857, 30836, 32619, 27219, 37618, 36903
        74,      3650, 34889, 30558, 32580, 24754, 36403, 34651, 34902, 30830, 32579, 27222, 37605, 36900
        75,      3700, 34935, 30553, 32540, 24740, 36423, 34655, 34947, 30824, 32540, 27224, 37592, 36897
