         1,         0, 32772, 32683, 32765, 29183, 33770, 36959, 32767, 32767, 32783, 30181, 35095, 37572
         2,        50, 32772, 32683, 32765, 29183, 33770, 36959, 32767, 32767, 32783, 30181, 35095, 37572
         3,       100, 32775, 32658, 32787, 29183, 33770, 36959, 32768, 32740, 32810, 30181, 35095, 37573
         4,       150, 32781, 32619, 32820, 29183, 33769, 36959, 32770, 32707, 32840, 30181, 35095, 37573
         5,       200, 32786, 32598, 32837, 29183, 33769, 36958, 32773, 32681, 32863, 30181, 35095, 37574
         6,       250, 32794, 32563, 32864, 29184, 33767, 36958, 32777, 32648, 32892, 30181, 35095, 37576
         7,       300, 32802, 32530, 32890, 29184, 33766, 36957, 32782, 32618, 32917, 30181, 35095, 37577
         8,       350, 32811, 32507, 32905, 29184, 33764, 36957, 32788, 32588, 32941, 30180, 35095, 37580
         9,       400, 32821, 32466, 32935, 29184, 33762, 36956, 32795, 32555, 32967, 30180, 35095, 37583
        10,       450, 32832, 32440, 32951, 29185, 33760, 36955, 32803, 32524, 32990, 30179, 35095, 37586
        11,       500, 32844, 32410, 32970, 29185, 33758, 36954, 32812, 32493, 33012, 30179, 35095, 37590
        12,       550, 32857, 32370, 32997, 29186, 33755, 36953, 32822, 32458, 33037, 30178, 35095, 37594
        13,       600, 32871, 32348, 33006, 29186, 33753, 36952, 32833, 32429, 33055, 30178, 35095, 37599
        14,       650, 32886, 32308, 33031, 29187, 33749, 36950, 32845, 32393, 33078, 30177, 35095, 37604
        15,       700, 32902, 32277, 33047, 29188, 33747, 36948, 32858, 32361, 33098, 30176, 35095, 37609
        16,       750, 32918, 32249, 33059, 29188, 33743, 36947, 32872, 32329, 33116, 30176, 35094, 37616
        17,       800, 32936, 32208, 33082, 29189, 33740, 36945, 32888, 32293, 33137, 30175, 35094, 37623
        18,       850, 32954, 32182, 33090, 29190, 33737, 36942, 32903, 32261, 33153, 30174, 35094, 37629
        19,       900, 32974, 32147, 33106, 29191, 33733, 36940, 32920, 32227, 33170, 30173, 35093, 37638
        20,       950, 32995, 32110, 33122, 29192, 33729, 36937, 32938, 32191, 33187, 30172, 35093, 37645
        21,      1000, 33016, 32085, 33127, 29193, 33726, 36934, 32957, 32160, 33200, 30171, 35092, 37654
        22,      1050, 33038, 32045, 33145, 29194, 33722, 36931, 32977, 32123, 33217, 30170, 35092, 37663
        23,      1100, 33061, 32014, 33153, 29195, 33718, 36927, 32998, 32090, 33229, 30169, 35091, 37672
        24,      1150, 33085, 31986, 33158, 29196, 33714, 36924, 33019, 32057, 33241, 30168, 35090, 37683
        25,      1200, 33110, 31944, 33175, 29197, 33711, 36920, 33042, 32020, 33255, 30167, 35089, 37693
        26,      1250, 33135, 31921, 33173, 29198, 33707, 36915, 33065, 31988, 33263, 30166, 35088, 37704
        27,      1300, 33162, 31883, 33185, 29199, 33703, 36911, 33090, 31953, 33274, 30165, 35087, 37715
        28,      1350, 33189, 31850, 33191, 29201, 33700, 36906, 33115, 31918, 33284, 30163, 35086, 37727
        29,      1400, 33217, 31824, 33190, 29202, 33696, 36901, 33141, 31886, 33290, 30162, 35084, 37740
        30,      1450, 33246, 31785, 33201, 29203, 33693, 36896, 33168, 31850, 33299, 30161, 35083, 37753
        31,      1500, 33275, 31759, 33198, 29205, 33689, 36890, 33195, 31818, 33304, 30160, 35081, 37765
        32,      1550, 33305, 31727, 33200, 29206, 33686, 36884, 33224, 31785, 33308, 30158, 35079, 37780
        33,      1600, 33337, 31691, 33205, 29208, 33683, 36878, 33253, 31749, 33315, 30157, 35077, 37794
        34,      1650, 33368, 31667, 33198, 29209, 33680, 36872, 33283, 31719, 33315, 30156, 35075, 37809
        35,      1700, 33401, 31632, 33201, 29211, 33677, 36865, 33314, 31684, 33319, 30154, 35073, 37824
        36,      1750, 33434, 31602, 33198, 29212, 33675, 36858, 33346, 31652, 33319, 30153, 35071, 37839
        37,      1800, 33467, 31578, 33189, 29214, 33672, 36850, 33378, 31621, 33318, 30152, 35068, 37856
        38,      1850, 33502, 31540, 33193, 29215, 33670, 36843, 33411, 31587, 33319, 30150, 35065, 37872
        39,      1900, 33537, 31518, 33180, 29217, 33668, 36835, 33445, 31557, 33315, 30149, 35062, 37889
        40,      1950, 33572, 31488, 33175, 29219, 33666, 36827, 33479, 31525, 33312, 30148, 35059, 37907
        41,      2000, 33609, 31456, 33171, 29220, 33665, 36818, 33514, 31493, 33309, 30146, 35056, 37924
        42,      2050, 33645, 31436, 33155, 29222, 33664, 36809, 33550, 31465, 33302, 30145, 35053, 37943
        43,      2100, 33683, 31402, 33152, 29224, 33663, 36800, 33587, 31433, 33297, 30143, 35049, 37962
        44,      2150, 33720, 31380, 33137, 29226, 33663, 36790, 33624, 31404, 33289, 30142, 35045, 37981
        45,      2200, 33758, 31355, 33124, 29228, 33662, 36780, 33661, 31376, 33280, 30141, 35041, 38001
        46,      2250, 33798, 31324, 33115, 29229, 33663, 36770, 33699, 31346, 33272, 30139, 35037, 38020
        47,      2300, 33836, 31306, 33095, 29231, 33663, 36759, 33738, 31320, 33259, 30138, 35033, 38041
        48,      2350, 33876, 31279, 33083, 29233, 33664, 36749, 33777, 31291, 33248, 30137, 35028, 38062
        49,      2400, 33917, 31254, 33068, 29235, 33665, 36737, 33817, 31263, 33236, 30135, 35023, 38082
        50,      2450, 33957, 31237, 33045, 29237, 33667, 36726, 33857, 31240, 33220, 30134, 35018, 38104
        51,      2500, 33998, 31208, 33033, 29239, 33669, 36714, 33898, 31211, 33208, 30133, 35013, 38126
        52,      2550, 34039, 31192, 33009, 29241, 33671, 36702, 33940, 31188, 33189, 30131, 35008, 38148
        53,      2600, 34081, 31171, 32988, 29243, 33674, 36689, 33981, 31163, 33173, 30130, 35002, 38171
        54,      2650, 34123, 31147, 32971, 29245, 33678, 36677, 34023, 31139, 33155, 30129, 34996, 38194
        55,      2700, 34164, 31135, 32941, 29247, 33681, 36663, 34066, 31117, 33134, 30128, 34990, 38217
        56,      2750, 34207, 31111, 32922, 29249, 33686, 36650, 34109, 31094, 33115, 30127, 34983, 38241
        57,      2800, 34250, 31095, 32896, 29250, 33691, 36636, 34152, 31073, 33092, 30125, 34977, 38264
        58,      2850, 34292, 31082, 32866, 29252, 33696, 36622, 34195, 31053, 33069, 30124, 34970, 38289
        59,      2900, 34336, 31059, 32846, 29254, 33702, 36608, 34239, 31032, 33046, 30123, 34963, 38313
        60,      2950, 34379, 31051, 32811, 29256, 33708, 36593, 34283, 31013, 33021, 30122, 34956, 38338
        61,      3000, 34422, 31034, 32785, 29258, 33715, 36578, 34327, 30996, 32994, 30121, 34948, 38363
        62,      3050, 34466, 31019, 32756, 29260, 33722, 36563, 34372, 30976, 32969, 30120, 34941, 38388
        63,      3100, 34509, 31013, 32720, 29262, 33730, 36547, 34417, 30963, 32938, 30119, 34933, 38414
        64,      3150, 34553, 30995, 32693, 29264, 33739, 36532, 34462, 30944, 32912, 30118, 34924, 38440
        65,      3200, 34597, 30988, 32657, 29266, 33748, 36515, 34507, 30931, 32879, 30118, 34916, 38465
        66,      3250, 34640, 30980, 32622, 29268, 33758, 36499, 34552, 30917, 32849, 30117, 34907, 38492
        67,      3300, 34684, 30967, 32591, 29270, 33768, 36482, 34597, 30903, 32817, 30116, 34898, 38518
        68,      3350, 34728, 30965, 32550, 29272, 33779, 36465, 34643, 30892, 32782, 30116, 34889, 38545
        69,      3400, 34772, 30956, 32514, 29273, 33790, 36448, 34688, 30881, 32748, 30115, 34880, 38572
        70,      3450, 34815, 30949, 32478, 29275, 33803, 36430, 34734, 30870, 32713, 30114, 34870, 38598
        71,      3500, 34858, 30951, 32433, 29277, 33815, 36413, 34779, 30863, 32675, 30114, 34860, 38625
        72,      3550, 34902, 30940, 32400, 29279, 33829, 36395, 34824, 30853, 32640, 30113, 34850, 38653
